game,who_won
1082,d-red
1083,h-red
1084,d-yellow
1085,d-red
1086,h-red
1087,h-red
1088,v-red
1089,h-yellow
1090,h-red
1091,v-red
1092,d-yellow
1093,h-yellow
1094,d-yellow
1095,d-yellow
1096,d-red
1097,h-yellow
1098,v-yellow
1099,tie
1100,d-red
1101,d-yellow
1102,h-red
1103,h-yellow
1104,h-yellow
1105,d-red
1106,d-red
1107,h-yellow
1108,d-red
1109,h-red
1110,h-yellow
1111,d-red
1112,h-yellow
1113,d-red
1114,d-red
1115,d-yellow
1116,h-yellow
1117,h-yellow
1118,d-red
1119,tie
1120,v-red
1121,h-yellow
1122,h-red
1123,h-yellow
1124,tie
1125,h-yellow
1126,d-red
1127,d-yellow
1128,d-red
1129,h-red
1130,v-yellow
1131,d-red
1132,d-red
1133,h-yellow
1134,d-yellow
1135,h-yellow
1136,v-yellow
1137,h-yellow
1138,d-yellow
1139,d-red
1140,h-red
1141,d-red
1142,h-red
1143,d-yellow
1144,d-red
1145,h-red
1146,d-red
1147,h-red
1148,h-yellow
1149,h-yellow
1150,d-red
1151,d-yellow
1152,d-red
1153,h-yellow
1154,d-red
1155,tie
1156,d-red
1157,v-yellow
1158,h-yellow
1159,h-yellow
1160,h-red
1161,tie
1162,h-yellow
1163,h-yellow
1164,h-yellow
1165,h-yellow
1166,d-yellow
1167,h-yellow
1168,d-yellow
1169,h-red
1170,h-yellow
1171,h-yellow
1172,h-yellow
1173,h-red
1174,d-red
1175,d-red
1176,v-red
1177,d-yellow
1178,d-red
1179,d-red
1180,h-yellow
1181,d-red
1182,h-yellow
1183,h-yellow
1184,d-red
1185,h-yellow
1186,h-red
1187,h-yellow
1188,d-red
1189,d-yellow
1190,d-red
1191,h-yellow
1192,h-yellow
1193,h-red
1194,d-red
1195,h-yellow
1196,h-yellow
1197,h-red
1198,d-yellow
1199,d-red
1200,h-red
1201,tie
1202,h-red
1203,d-yellow
1204,h-yellow
1205,d-yellow
1206,h-red
1207,h-yellow
1208,h-yellow
1209,d-red
1210,h-yellow
1211,h-yellow
1212,h-red
1213,h-red
1214,d-yellow
1215,h-red
1216,h-red
1217,d-yellow
1218,d-yellow
1219,d-yellow
1220,h-yellow
1221,d-yellow
1222,d-yellow
1223,d-red
1224,h-red
1225,d-yellow
1226,d-red
1227,h-yellow
1228,h-red
1229,d-yellow
1230,tie
1231,h-red
1232,v-yellow
1233,h-yellow
1234,h-red
1235,d-red
1236,h-yellow
1237,d-yellow
1238,h-yellow
1239,h-yellow
1240,h-yellow
1241,d-yellow
1242,tie
1243,h-yellow
1244,h-red
1245,h-red
1246,tie
1247,d-red
1248,h-red
1249,h-red
1250,h-red
1251,h-yellow
1252,h-yellow
1253,tie
1254,h-red
1255,d-yellow
1256,h-red
1257,h-yellow
1258,d-yellow
1259,d-red
1260,h-yellow
1261,h-yellow
1262,d-yellow
1263,d-red
1264,h-red
1265,h-yellow
1266,tie
1267,h-yellow
1268,v-yellow
1269,d-red
1270,v-red
1271,h-yellow
1272,h-yellow
1273,d-yellow
1274,d-yellow
1275,h-red
1276,h-red
1277,d-red
1278,v-yellow
1279,d-red
1280,d-red
1281,d-red
1282,d-yellow
1283,d-red
1284,h-yellow
1285,d-red
1286,d-red
1287,h-red
1288,d-yellow
1289,d-red
1290,d-yellow
1291,h-yellow
1292,d-red
1293,d-yellow
1294,h-yellow
1295,h-red
1296,d-yellow
1297,d-yellow
1298,h-red
1299,h-yellow
1300,h-yellow
1301,h-yellow
1302,d-yellow
1303,h-yellow
1304,h-yellow
1305,h-yellow
1306,h-yellow
1307,h-red
1308,d-red
1309,d-red
1310,d-yellow
1311,h-yellow
1312,d-red
1313,h-red
1314,d-red
1315,h-yellow
1316,h-red
1317,h-yellow
1318,tie
1319,h-yellow
1320,d-yellow
1321,h-yellow
1322,d-yellow
1323,h-red
1324,d-red
1325,h-yellow
1326,d-yellow
1327,h-red
1328,h-yellow
